Group_name,IU_ID,IU_ID2,CoverageGroup,Group,country,dd,pop,num_ius
34_2,46553,TZA46553,2,34,TZA,2,1215345,79
35_2,19303,ETH19303,2,35,ETH,2,960615,25
35_1,36889,NGA36889,1,35,NGA,1,1787501,13
36_1,49748,UGA49748,1,36,UGA,1,2962154,8
37_1,2167,AGO02167,1,37,AGO,1,1665510,37
37_2,18656,ETH18656,2,37,ETH,2,286568,30
38_2,53003,BFA53003,2,38,BFA,2,444264,29
38_1,36719,NGA36719,1,38,NGA,1,1456497,66
39_2,18657,ETH18657,2,39,ETH,2,437677,1
4_2,18571,ETH18571,2,4,ETH,2,1111173,7
4_1,34275,NAM34275,1,4,NAM,1,1014083,7
40_2,19324,ETH19324,2,40,ETH,2,1188549,7
40_1,10716,TCD10716,1,40,TCD,1,1660747,54
41_1,35331,NER35331,1,41,NER,1,2807054,1
42_2,21507,GHA21507,2,42,GHA,2,1127402,1
43_2,18555,ETH18555,2,43,ETH,2,718687,2
43_1,36787,NGA36787,1,43,NGA,1,1051250,1
44_1,36881,NGA36881,1,44,NGA,1,1436964,5
45_1,35305,NER35305,1,45,NER,1,1345507,2
47_2,54048,KEN54048,2,47,KEN,2,561319,1
48_2,40166,SEN40166,2,48,SEN,2,398974,7
48_1,48704,TGO48704,1,48,TGO,1,1118046,1
49_2,21471,GHA21471,2,49,GHA,2,901744,26
49_1,36565,NGA36565,1,49,NGA,1,1497925,7
5_2,54069,KEN54069,2,5,KEN,2,701662,41
5_1,36449,NGA36449,1,5,NGA,1,692774,53
50_2,18650,ETH18650,2,50,ETH,2,945109,10
51_1,49766,UGA49766,1,51,UGA,1,1467122,1
52_2,27885,MDG27885,2,52,MDG,2,1179897,3
52_1,33133,MOZ33133,1,52,MOZ,1,139637,6
53_2,5340,BFA05340,2,53,BFA,2,1737458,26
53_1,37108,NGA37108,1,53,NGA,1,1928652,91
54_1,33217,MOZ33217,1,54,MOZ,1,1174775,3
55_1,33212,MOZ33212,1,55,MOZ,1,562741,1
56_1,36931,NGA36931,1,56,NGA,1,1301132,3
56_2,46618,TZA46618,2,56,TZA,2,2657433,5
57_1,35309,NER35309,1,57,NER,1,3466448,12
58_1,37042,NGA37042,1,58,NGA,1,1572175,4
58_2,46511,TZA46511,2,58,TZA,2,2013183,39
59_1,2201,AGO02201,1,59,AGO,1,1020341,3
59_2,18692,ETH18692,2,59,ETH,2,156950,11
6_1,16428,GNQ16428,1,6,GNQ,1,122558,52
6_2,40183,SEN40183,2,6,SEN,2,1200230,32
60_2,21424,GHA21424,2,60,GHA,2,742368,1
61_2,18644,ETH18644,2,61,ETH,2,340016,3
62_2,21474,GHA21474,2,62,GHA,2,610314,1
63_2,19281,ETH19281,2,63,ETH,2,1160568,11
63_1,36700,NGA36700,1,63,NGA,1,1310928,10
64_1,49732,UGA49732,1,64,UGA,1,2376588,1
65_1,36786,NGA36786,1,65,NGA,1,1752136,1
66_1,36892,NGA36892,1,66,NGA,1,929032,3
67_1,26829,LBR26829,1,67,LBR,1,3961995,2
68_2,28953,MWI28953,2,68,MWI,2,83630,1
69_1,37045,NGA37045,1,69,NGA,1,1633930,30
69_2,46504,TZA46504,2,69,TZA,2,1684510,33
7_1,53211,SDN53211,1,7,SDN,1,1552409,33
7_2,42257,SLE42257,2,7,SLE,2,2471109,54
70_1,33202,MOZ33202,1,70,MOZ,1,448721,1
71_2,18660,ETH18660,2,71,ETH,2,359868,1
71_1,33240,MOZ33240,1,71,MOZ,1,645248,1
72_1,35328,NER35328,1,72,NER,1,2565456,4
73_1,36876,NGA36876,1,73,NGA,1,514598,1
74_1,35299,NER35299,1,74,NER,1,1669332,1
75_1,17461,ERI17461,1,75,ERI,1,785981,1
76_2,7527,CMR07527,2,76,CMR,2,1032699,51
76_1,36561,NGA36561,1,76,NGA,1,2340919,2
77_1,2209,AGO02209,1,77,AGO,1,347007,6
77_2,40188,SEN40188,2,77,SEN,2,574966,10
78_1,2204,AGO02204,1,78,AGO,1,462662,1
78_2,46517,TZA46517,2,78,TZA,2,1280834,4
79_2,40224,SEN40224,2,79,SEN,2,393059,2
8_2,18884,ETH18884,2,8,ETH,2,451540,11
8_1,50848,ZMB50848,1,8,ZMB,1,1254991,13
80_2,18641,ETH18641,2,80,ETH,2,1015025,1
81_1,49745,UGA49745,1,81,UGA,1,398419,1
82_2,6387,BDI06387,2,82,BDI,2,1145952,6
82_1,37060,NGA37060,1,82,NGA,1,612806,2
83_1,33200,MOZ33200,1,83,MOZ,1,494179,3
84_2,30032,MLI30032,2,84,MLI,2,985965,2
84_1,33108,MOZ33108,1,84,MOZ,1,771452,1
85_1,33254,MOZ33254,1,85,MOZ,1,2647753,2
86_1,33235,MOZ33235,1,86,MOZ,1,1608069,1
87_1,49710,UGA49710,1,87,UGA,1,1460113,1
88_1,2069,AGO02069,1,88,AGO,1,3322888,12
88_2,28946,MWI28946,2,88,MWI,2,3730940,21
89_2,29982,MLI29982,2,89,MLI,2,1147113,1
89_1,48677,TGO48677,1,89,TGO,1,809954,2
9_2,3259,BEN03259,2,9,BEN,2,5360043,35
9_1,36586,NGA36586,1,9,NGA,1,1426099,53
90_2,29983,MLI29983,2,90,MLI,2,2435152,3
91_2,18585,ETH18585,2,91,ETH,2,1029915,1
92_1,48700,TGO48700,1,92,TGO,1,833861,3
93_1,36898,NGA36898,1,93,NGA,1,748810,1
94_1,48667,TGO48667,1,94,TGO,1,1058993,1
95_2,29988,MLI29988,2,95,MLI,2,938547,2
96_2,30011,MLI30011,2,96,MLI,2,952848,1
96_1,36788,NGA36788,1,96,NGA,1,2131566,2
97_2,18903,ETH18903,2,97,ETH,2,857540,1
98_2,28952,MWI28952,2,98,MWI,2,5652132,4
99_1,35298,NER35298,1,99,NER,1,1413739,1
